img	pnt	x	y
1	1	-8.968	-10.917
1	2	7.02	-7.509
1	3	10.659	8.809
1	4	-7.593	8.702	
2	1	-16.269	-11.41
2	2	-0.375	-7.514
2	3	2.78	8.896
2	4	-15.462	8.252
3	2	-9.262	-6.166
3	3	-3.175	9.407
3	4	-21.219	12.107
4	1	-6.547	-21.966
4	2	8.968	-16.759
4	3	10.756	-0.154
4	4	-7.387	-2.289
5	1	-17.382	-20.438
5	2	-1.26	-17.626
5	3	2.978	-1.468
5	4	-15.241	-0.876
5	5	11.67	6.436
6	2	-6.051	-18.517
6	3	-4.386	-1.897
6	4	-22.495	-4.152
6	5	2.962	7.256
7	1	-8.096	-31.467
7	2	7.799	-27.616
7	3	10.977	-11.219
7	4	-7.268	-11.812
8	2	2.158	-27.745
8	3	4.157	-11.164
8	4	-13.993	-13.045
8	5	11.691	-2.156
9	1	-26.646	-29.189
9	2	-10.432	-27.07
9	3	-5.489	-11.11
9	4	-23.697	-9.735
9	5	3.524	-3.586
