img	pnt	x	y
1	1	-0.001	0.002
1	2	0.001	6.349
1	3	-0.002	-6.348
1	4	7.62	-0.003
1	5	7.812	6.347
1	6	7.445	-6.345
1	10	0.005	10.168
1	12	-0.715	3.839
1	13	7.622	10.162
1	15	7.867	3.82
2	1	-7.617	-0.221
2	2	-7.805	6.118
2	3	-7.43	-6.573
2	4	0.01	0.003
2	5	0	6.346
2	6	-0.003	-6.346
2	7	7.61	0.226
2	8	6.451	6.477
2	9	8.776	-6.019
2	10	-7.921	9.937
2	12	-8.456	3.6
2	13	-0.305	10.161
2	15	0.12	3.815
2	16	7.313	10.383
2	18	6.75	4.061
3	4	-7.529	1.158
3	5	-6.376	7.411
3	6	-8.684	-5.077
3	7	0.005	-0.002
3	8	0	6.351
3	9	-0.002	-6.355
3	13	-5.98	11.211
3	15	-6.715	4.897
3	16	1.559	10.036
3	18	-0.16	3.918
4	1	1.138	-10.09
4	2	0.426	-3.786
4	4	8.712	-9.242
4	5	8.201	-2.907
4	10	0.001	0.004
4	11	0.012	6.348
4	12	0.005	-6.345
4	13	7.571	0.854
4	14	6.626	7.126
4	15	8.524	-5.416
4	19	-1.149	10.094
4	21	-0.606	3.761
4	22	6.427	10.953
4	24	6.517	4.597
5	1	-8	-9.864
5	2	-7.762	-3.524
5	4	-0.376	-10.149
5	5	0.042	-3.817
5	7	7.231	-10.443
5	8	6.498	-4.121
5	10	-7.624	0.282
5	11	-6.664	6.566
5	12	-8.566	-5.986
5	13	-0.013	-0.003
5	14	0	6.344
5	15	0.003	-6.351
5	16	7.613	-0.293
5	17	8.6	5.985
5	18	6.624	-6.555
5	19	-7.233	10.435
5	21	-7.654	4.108
5	22	0.385	10.145
5	24	-0.481	3.863
5	25	8.003	9.869
5	27	8.274	3.526
6	4	-6.356	-10.995
6	5	-6.92	-4.672
6	7	1.213	-10.09
6	8	-0.506	-3.974
6	13	-7.559	-0.903
6	14	-8.551	5.36
6	15	-6.583	-7.181
6	16	0.007	-0.005
6	17	-0.003	6.35
6	18	0	-6.344
6	22	-8.768	9.182
6	24	-8.644	2.832
6	25	-1.211	10.088
6	27	0.057	3.872

